Indicator,Disaggregations,Number of disaggregations
#1-1-1,"Gebietseinheit, Kategorien",2
#1-1-2,"Gebietseinheit, Kategorien",2
#1-1-3,"Gebietseinheit, Kategorien",2
#11-1-1,"Gebietseinheit, Aufenthaltstitel",2
#11-2-1,"Gebietseinheit, Aufenthaltstitel",2
#11-2-2,"Gebietseinheit, Aufenthaltstitel",2
#11-2-3,"Gebietseinheit, Aufenthaltstitel",2
#11-2-4,"Gebietseinheit, Aufenthaltstitel",2
#11-2-5,"Gebietseinheit, Aufenthaltstitel",2
#11-2-6,"Gebietseinheit, Aufenthaltstitel",2
#11-2-7,"Gebietseinheit, Aufenthaltstitel",2
#11-2-8,"Gebietseinheit, Aufenthaltstitel",2
#11-2-9,"Gebietseinheit, Aufenthaltstitel",2
