Value,Disaggregation combinations using this value,Number of indicators
0,4,1
0.1,1,1
0.2,1,1
0.29296875,1,1
0.3,2,1
0.4,2,1
0.5,1,1
0.563803796278895,1,1
0.6,2,1
0.7,2,1
0.791139240506329,1,1
0.8,1,1
0.9,1,1
1,3,1
10,1,1
100,1,1
101,1,1
102,2,1
103,1,1
1.03547036792245,1,1
106,1,1
108,1,1
109,1,1
1.1,2,1
110,1,1
111,1,1
116,1,1
12,1,1
120,1,1
126,1,1
1.2,1,1
1.3,2,1
131,1,1
134,1,1
138,1,1
140,2,1
1417,1,1
145,2,1
1465,1,1
147,1,1
149,2,1
15,1,1
1589,1,1
159,1,1
1599,1,1
1.5,1,1
164,1,1
1653,1,1
1657,1,1
1.7,1,1
1.70682730923695,1,1
1720,1,1
1751,1,1
176,1,1
177,1,1
178,1,1
1.8,1,1
182,1,1
1828,1,1
1852,1,1
1866,1,1
187,1,1
188,1,1
1881,1,1
189,1,1
19,1,1
191,1,1
197,1,1
1.9,1,1
2,3,1
210,1,1
212,1,1
2.2,1,1
224,1,1
23,1,1
233,1,1
2.3,1,1
25,1,1
2.5,1,1
2.6,1,1
27,1,1
28,1,1
2.8,1,1
29,2,1
3,1,1
30,1,1
3.1,1,1
3.2,1,1
33,1,1
3.4,1,1
37,1,1
38,1,1
3.8,1,1
3956,1,1
4,2,1
4.1,1,1
4.13954699297058,1,1
42,1,1
4.2,1,1
4316,1,1
4.4,2,1
4456,1,1
44.6,1,1
4.5,1,1
46,1,1
4.7,1,1
4861,1,1
4.9,2,1
5,3,1
50,1,1
5072,1,1
51,2,1
5177,1,1
5.2,1,1
5305,1,1
5308,1,1
5.4,1,1
540,1,1
5448,1,1
5486,1,1
549,1,1
5596,1,1
5610,1,1
5641,1,1
5730,1,1
5831,1,1
5.84058249627529,1,1
58.8,1,1
6,2,1
60,1,1
602,1,1
60.3,1,1
6085,1,1
611,1,1
61.8,1,1
6.2,1,1
6.3,1,1
64,1,1
6419,1,1
6426,1,1
646,1,1
6474,1,1
65,1,1
6559,1,1
6568,1,1
6.5,1,1
662,1,1
6.7,1,1
6729,1,1
6.8,1,1
68.6,1,1
68.7,1,1
6.9,1,1
6911,1,1
698,1,1
7,1,1
70.4,1,1
71.4,1,1
7156,1,1
71.7,1,1
7.2,1,1
72.5,1,1
73.2,1,1
73.6,1,1
74,1,1
75,1,1
751,1,1
76,1,1
760,1,1
765,1,1
7.6,1,1
77,1,1
77.8,1,1
7.7,1,1
78,1,1
7.9,1,1
8,1,1
80,1,1
80.5555555555556,1,1
81,1,1
81.7,1,1
8.1,1,1
82,1,1
82.1,1,1
82.3,1,1
824,1,1
83.0752212389381,1,1
837,1,1
83.8,1,1
8.4,1,1
845,1,1
8.5,1,1
85.2,1,1
85.4,1,1
8.64809751123882,1,1
89,1,1
94,1,1
946,1,1
95.5,1,1
96.2,1,1
96.9,1,1
97,1,1
97.3,1,1
974,1,1
97.5,1,1
97.6,1,1
97.7,1,1
97.9,1,1
98,1,1
98.3,1,1
98.4,1,1
98.5,1,1
98.6,1,1
98.8,1,1
98.9,1,1
99.1,1,1
99.1230268103232,1,1
99.3,1,1
Ausländerinnen und Ausländer,1396,9
Deutsche,1396,9
Insgesamt,173,4
