Value,Disaggregation combinations using this value,Number of indicators
Anteil der Personen mit Migrationshintergrund im engeren Sinne,49,1
Anteil der Personen mit Migrationshintergrund im weiteren Sinne,49,1
Anteil der Personen ohne Migrationshintergrund,49,1
dav. Frauen,36,1
dav. Männer,36,1
Insgesamt,36,1
mit Migrationshintergrund3),9,1
mit Migrationshintergrund,9,1
mit und ohne Migrationshintergrund,9,1
ohne Migrationshintergrund,12,2
Personen mit Migrationshintergrund,49,1
Personen ohne Migrationshintergrund,49,1
