Year,Migrationsstatus,Altersgruppe,Bildungsstand,Geschlecht,Units,Value
2025,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,563.512495
2025,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,291.557673
2025,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,271.954822
2025,ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,361.117545
2025,ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,183.59249
2025,ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,177.525055
2025,mit Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,202.39495
2025,mit Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,107.965183
2025,mit Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,94.429767
2024,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,581.278468
2024,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,299.147187
2024,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,282.131281
2024,ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,382.071124
2024,ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,192.600283
2024,ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,189.470841
2024,mit Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,199.207344
2024,mit Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,106.546904
2024,mit Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,92.66044
2023,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,593.744292
2023,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,301.280888
2023,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,292.463404
2023,ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,404.983061
2023,ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,203.141609
2023,ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,201.841452
2023,mit Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,188.761231
2023,mit Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,98.139279
2023,mit Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,90.621952
2022,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,598.096074
2022,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,304.023892
2022,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,294.072182
2022,ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,425.165943
